Ticker,Date,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Price_D-1,XBI_Price_D1,XBI_Price_D5,XBI_Return_D1,XBI_Return_D5,row_id
SNDX,1/2/2024,21.61,21.86,22.64,0.011568718,0.047663119,89.29,88.2,93.6,-0.012207414,0.048269683,0
INCY,1/2/2024,62.79,65.45,64.38,0.042363434,0.025322504,89.29,88.2,93.6,-0.012207414,0.048269683,1
ATAI,1/2/2024,1.41,1.69,2.19,0.19858156,0.553191489,89.29,88.2,93.6,-0.012207414,0.048269683,2
AVXL,1/2/2024,9.31,6.045,6.41,-0.350698174,-0.311493018,89.29,88.2,93.6,-0.012207414,0.048269683,3
ATXI,1/2/2024,12.07503,12.00003,14.13754,-0.006211165,0.170807857,89.29,88.2,93.6,-0.012207414,0.048269683,4
SPRO,1/2/2024,1.47,1.52,1.46,0.034013605,-0.006802721,89.29,88.2,93.6,-0.012207414,0.048269683,5
CTXR,1/2/2024,18.9125,20.2175,18.6625,0.069001983,-0.013218771,89.29,88.2,93.6,-0.012207414,0.048269683,6
NVS,1/2/2024,4.52,4.4,4.45,-0.026548673,-0.015486726,89.29,88.2,93.6,-0.012207414,0.048269683,7
AGIO,1/3/2024,22.83,24.02,23.4,0.052124398,0.024967148,90.23,89.45,92.53,-0.008644575,0.025490413,8
TEVA,1/3/2024,10.67,10.95,11.49,0.026241799,0.076850984,90.23,89.45,92.53,-0.008644575,0.025490413,9
ALVO,1/3/2024,11.36,11.68,12.21,0.028169014,0.074823944,90.23,89.45,92.53,-0.008644575,0.025490413,10
DYN,1/3/2024,13.06,14.77,17.34,0.13093415,0.327718224,90.23,89.45,92.53,-0.008644575,0.025490413,11
DYN,1/3/2024,13.06,14.77,17.34,0.13093415,0.327718224,90.23,89.45,92.53,-0.008644575,0.025490413,12
ATHA,1/3/2024,28.9,30.3,28.8,0.048442907,-0.003460208,90.23,89.45,92.53,-0.008644575,0.025490413,13
APLM,1/3/2024,91.93,95.5,94.7399,0.038833895,0.030565648,90.23,89.45,92.53,-0.008644575,0.025490413,14
CMMB,1/3/2024,2.1512,2.1388,2.18,-0.005764225,0.013387877,90.23,89.45,92.53,-0.008644575,0.025490413,15
SLRX,1/3/2024,76.81196,76.65596,79.07996,-0.002030934,0.029526652,90.23,89.45,92.53,-0.008644575,0.025490413,16
